Kanji,Reading,Meaning,Japanese Example,English Example
措置,そち,"measure, step",緊急措置が必要となった。,Urgent measures became necessary.
ソックス,ソックス,socks,新しいソックスを買ってください。,Please buy new socks.
素っ気無い,そっけない,"cold, short, curt, blunt",彼女の態度はいつも素っ気無い。,Her attitude is always cold and curt.
外方,そっぽ,look (or turn) the other way,彼はそっぽを向いて、私の話を聞こうとしなかった。,He turned the other way and didn't try to listen to what I was saying.
備え付ける,そなえつける,"to provide, to equip, to install",新しい家には家具が備え付けられている。,The new house comes equipped with furniture.
備わる,そなわる,to be furnished with,彼には優れたリーダーシップの資質が備わっている。,He possesses the qualities of excellent leadership.
具わる,そなわる,to be furnished with,この地域は観光資源が豊富に具わっている。,This area is rich in tourist resources.
聳える,そびえる,"to rise, to tower, to soar",そのビルは市内で最も高く聳えている。,That building stands tallest in the city.
素朴,そぼく,"simplicity, artlessness, naivety",素朴な考え方が時に大切な答えを導くこともある。,Simple thinking sometimes leads to important answers.
背く,そむく,"to run counter to, to go against",規則に背いた行為は厳しく罰せられる。,Actions that go against the rules are harshly punished.
染まる,そまる,to be dyed,その布は鮮やかな色で染まっていた。,The fabric was dyed in vivid colors.
染める,そめる,"to dye, to color",子供たちがイースターエッグを染めるのに楽しみます。,Children enjoy dyeing Easter eggs.
そらす,そらす,"to bend, to warp",彼の言葉が事実以上のものをそらしている。,His words are deflecting more than the truth.
そり (～にのる),そり (～にのる),"sleigh, sled",冬になると子供達はそりにのって遊んでいる。,"In the winter, children play on sleds."
反る,そる,"to warp, to be warped, to curve",木材は湿気を吸収して反りやすい。,Wood easily warps by absorbing moisture.
それゆえ,それゆえ,"therefore, for that reason, so",彼女の忠告を聞かず、それゆえトラブルに巻き込まれた。,"He did not listen to her advice, and therefore got involved in trouble."
ソロ,ソロ,solo,彼は素晴らしいソロ演奏を披露した。,He performed a fantastic solo.
揃い,そろい,"set, suit, uniform",この店は揃ってエレガントなアクセサリーを扱っている。,This store carries a complete selection of elegant accessories.
ぞんざい,ぞんざい,"rude, careless, slovenly",彼の仕事ぶりはぞんざいで、上司から注意を受けた。,"His work is careless, and he was cautioned by his boss."
損失,そんしつ,loss,会社は不測の事態で大きな損失を被った。,The company suffered significant losses due to unforeseen circumstances.
存続,そんぞく,"duration, continuance",このプロジェクトの存続を続けるためにはさらなる資金が必要だ。,Additional funding is required to continue the existence of this project.
ダース,ダース,dozen,彼はワインを一ダース買った。,He bought a dozen bottles of wine.
対応,たいおう,dealing with,緊急の問題に対応するためのチームを組織した。,A team was organized to respond to the urgent issue.
大家,たいか,"rich family, distinguished family",その村の大家が地域の安全を守っている。,The head of the village is protecting the community's safety.
退化,たいか,"degeneration, retrogression",その生物は環境の変化によって退化した。,The organism degenerated due to changes in the environment.
大概,たいがい,"in general, mainly",大概の人は朝食を抜くことなく目覚める。,Most people wake up without skipping breakfast.
体格,たいかく,"physique, constitution",彼はどんなスポーツにも向いた体格をしている。,He has a physique suitable for any sport.
大金,たいきん,large amount of money,宝くじで大金を手に入れた。,I won a large amount of money in the lottery.
待遇,たいぐう,"treatment, reception",その企業は従業員に公平な待遇を提供している。,The company provides fair treatment to its employees.
対決,たいけつ,"confrontation, showdown",ライバル同士の対決は緊張感に満ちていた。,The showdown between rivals was filled with tension.
体験,たいけん,personal experience,新しい文化を身をもって体験することは貴重な経験だ。,Experiencing a new culture firsthand is a valuable experience.
対抗,たいこう,"opposition, antagonism",その国は近隣国との経済的な対抗を行っている。,The country is engaged in economic opposition with neighboring nations.
退治,たいじ,extermination,害虫を退治するために農薬を使用した。,Pesticides were used to exterminate pests.
大衆,たいしゅう,general public,政治家は大衆の支持を得るために選挙活動を行っている。,Politicians campaign to gain the support of the general public.
対処,たいしょ,"deal with, cope",問題に効果的に対処する方法を見つける必要がある。,We need to find effective ways to deal with the problem.
退職,たいしょく,retirement (from office),彼は長年の勤務後、ついに退職した。,"After years of service, he finally retired."
題する,だいする,to title,この問題について議論を題する。,Bring up the issue for discussion.
態勢,たいせい,"attitude, conditions, tendency",態勢を整える,To prepare the stance
対談,たいだん,"talk, dialogue",対談をする,To have a dialogue
大胆,だいたん,"bold, daring, audacious",大胆な計画,Bold plan
対等,たいとう,equivalent,対等な交流,Equal exchange
台無し,だいなし,"mess, spoiled, (come to) nothing",計画が台無しになる,The plan becomes ruined
滞納,たいのう,"non-payment, default",税金の滞納,Tax payment default
対比,たいひ,"contrast, comparison",対比を分析する,Analyze the contrast
タイピスト,タイピスト,typist,タイピストの仕事,Typist's job
大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)",大部分が完了,Most part is done
大便,だいべん,feces,大便の処理,Feces disposal
代弁,だいべん,speak for another,代弁を頼む,Ask for speaking on behalf
待望,たいぼう,"long-expected, waiting",待望のゲーム,Long-awaited game
台本,だいほん,"libretto, scenario",ドラマの台本,Drama script
タイマー,タイマー,timer,タイマーをセットする,Set the timer
怠慢,たいまん,"negligence, carelessness",怠慢な態度,Negligent attitude
タイミング,タイミング,timing,適切なタイミング,Appropriate timing
タイム,タイム,time,タイムを計る,Measure the time
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI",タイムリーな判断,Timely decision
対面,たいめん,"interview, meeting",新人との対面,Meeting with a newcomer
代用,だいよう,substitution,代用品を使用する,Use substitute product
体力,たいりょく,physical strength,体力が必要,Physical strength is necessary
タイル,タイル,tile,タイルを貼る,Tile the floor
対話,たいわ,"conversation, dialogue",対話を重視する,Emphasize conversation
耐える,たえる,"to endure, to put up with",困難に耐える,Endure difficulties
堪える,たえる,"to endure, to put up with",涙を堪える,Hold back tears
絶える,たえる,"to die out, to become extinct",音楽が絶える,The music dies out
断える,たえる,"to cease, to become extinct",援助を断える,Refuse assistance
打開,だかい,"solution, breakthrough",問題に打開を図る,Find a breakthrough in the problem
焚火,たきび,(open) fire,焚火を囲む,Gather around the fire
妥協,だきょう,"compromise, giving in",妥協することなく立ち向かう,Face without compromise
たくましい,たくましい,"burly, strong, sturdy",彼はたくましい体格だ,He has a strong physique
巧み,たくみ,"skill, cleverness",巧みな戦略,Clever strategy
丈,たけ,"length, height",彼の身長は丈夫だ,His height is sturdy
打撃,だげき,"blow, damage; batting (baseball)",野球の打撃が良い,Good batting in baseball
妥結,だけつ,agreement,妥結された合意,The agreement was reached
駄作,ださく,poor work,映画は駄作だった,The movie was a poor work
足し算,たしざん,addition,足し算の練習をする,Practice addition
多数決,たすうけつ,majority rule,多数決で決定する,Decide by majority rule
助け,たすけ,assistance,彼に助けを求める,Ask him for help
携わる,たずさわる,"to engage, to involve",プロジェクトに携わる,To be involved in the project
漂う,ただよう,"to drift about, to float, to hang in air",海の上にゴムボートが漂っている。,A rubber boat is drifting on the sea.
立ち去る,たちさる,"to leave, to depart",彼は立ち去る前に振り返った。,He looked back before leaving.
立ち寄る,たちよる,"to stop by, to drop in for a short visit",帰りにスーパーに立ち寄ってから家に帰った。,I stopped by the supermarket on my way back home.
抱っこ,だっこ,(child's) hug,赤ちゃんが泣いていたので抱っこした。,I held the baby because it was crying.
達者,たっしゃ,"skillful, in good health",彼は運動が得意でとても達者だ。,He is good at sports and very skillful.
脱出,だっしゅつ,escape,映画の中で主人公が危ない場面から脱出する。,The protagonist escapes from a dangerous situation in the movie.
脱する,だっする,"to escape from, to get out",彼はその困難な状況から脱する方法を見つけた。,He found a way to escape from that difficult situation.
達成,たっせい,achievement,目標を達成するために一生懸命働いた。,I worked hard to achieve my goal.
脱退,だったい,"secession, withdrawal",彼はバンドから脱退してソロ活動を始めた。,He left the band and started solo activities.
だったら,だったら,if it's the case,雨が降っているだったら家でゆっくり過ごそう。,"If it's raining, let's relax at home."
立て替える,たてかえる,"to pay in advance, to pay for another",友達の分までお金を立て替えて支払った。,I paid in advance for my friend's share.
建前,たてまえ,position; stance one takes in public; principle,面接では建前と本音は違うことがある。,"In an interview, the front and the truth may be different."
奉る,たてまつる,"to offer, to do respectfully",神社でお神酒を奉ってから祈願をした。,I made an offering of sacred sake at the shrine before praying.
だと,だと,if it's the case,彼は家にいるだと言っていたが、出かけている。,"He said he was at home, but he's out."
他動詞,たどうし,transitive verb (direct object),この動詞は他動詞で、目的語が必要です。,This verb is transitive and requires an object.
辿り着く,たどりつく,"to reach, to make it somehow",長い道のりを経て、ついに目的地に辿り着いた。,"After a long journey, I finally reached the destination."
辿る,たどる,"to follow (road, to pursue (course), to follow up",昔の道を辿って、懐かしい場所にたどり着いた。,"Following the old road, I arrived at a nostalgic place."
束ねる,たばねる,"to tie up in a bundle, to control",花束を束ねて贈り物にした。,I tied up a bunch of flowers as a gift.
だぶだぶ,だぶだぶ,"loose, baggy",だぶだぶの服を着て、リラックスしている。,I'm wearing baggy clothes and relaxing.
他方,たほう,"another side, on the other hand",一方の意見に賛成できないので、他方の見解を聞いてみた。,"I couldn't agree with one side, so I listened to the other view."
多忙,たぼう,busy,最近仕事が忙しくてとても多忙だ。,I've been very busy with work lately.
給う,たまう,"to receive, to grant",神からの恵みを給うことに感謝する。,I am grateful for the blessings bestowed by God.
魂,たましい,"soul, spirit",彼の歌声には魂がこもっている。,His singing voice is full of soul.
溜まり,たまり,"collected things, gathering place, arrears",倉庫には使わない物が溜まりがちだ。,Unused items tend to accumulate in the warehouse.
賜る,たまわる,"to grant, to bestow",先生から素晴らしいアドバイスを賜った。,I received great advice from the teacher.
保つ,たもつ,"to keep, to preserve, to sustain",幸せを永遠に保つ方法はさまざまだ。,There are various ways to sustain happiness forever.
たやすい,たやすい,"easy, simple, light",それはとてもたやすい問題だ。,That is a very easy problem.
多様,たよう,"diversity, variety",大都市は文化的な多様性を持っている。,Major cities have cultural diversity.
だるい,だるい,"sluggish, feel heavy (tired), languid",暑い日には、体がだるく感じることが多い。,"On hot days, the body often feels sluggish."
弛み,たるみ,"slack, slackening",ダイエットをサボっていると、体が弛み始める。,"If you slack off on your diet, your body will start to slacken."
弛む,たるむ,"to slacken, to loosen, to relax",疲れた体をゆっくり休ませて、筋肉を弛める。,Relax the tired body slowly and loosen the muscles.
垂れる,たれる,"to hang, to droop; to drip",布が窓辺で垂れている。,The cloth is hanging at the window.
タレント,タレント,"talent, star, personality",彼女は有名なタレントになりたいと言っていた。,She said she wants to become a famous talent.
タワー,タワー,tower,この街に高い展望タワーがある。,There is a tall observation tower in this city.
単一,たんいつ,"single, simple, sole",その会社は単一の商品に特化している。,The company specializes in a single product.
短歌,たんか,31-syllable Japanese poem,和歌や短歌が好きな人は、詩に興味がある。,People who like waka and tanka have an interest in poetry.
担架,たんか,"stretcher, litter",怪我をした選手は担架で運ばれた。,The injured player was carried on a stretcher.
短気,たんき,quick temper,短気な性格の人は注意が必要だ。,People with a quick temper need to be careful.
団結,だんけつ,"unity, union, solidarity",チームの団結が試合の勝利につながった。,The team's unity led to victory in the game.
探検,たんけん,"exploration, expedition",アフリカのジャングルで探検をしたいと思っている。,I want to explore the jungles of Africa.
断言,だんげん,"assertion, declaration, affirmation",彼は自分の考えを断言した。,He asserted his own thoughts.
短縮,たんしゅく,"shortening, abbreviation, reduction",このプロセスを短縮する方法を見つけなければならない。,We need to find a way to shorten this process.
断然,だんぜん,"firmly, absolutely, definitely",彼女は断然にその提案に賛成だ。,She is definitely in favor of that proposal.
炭素,たんそ,carbon (C),炭素は化学元素として広く存在する。,Carbon is widely present as a chemical element.
短大,たんだい,junior college,彼は短大で学ぶことを選択した。,He chose to study at a junior college.
単調,たんちょう,"monotony, monotone, dullness",その仕事は単調であまり面白くない。,The job is monotonous and not very interesting.
単独,たんどく,"sole, single",彼は単独でそのプロジェクトを完成させた。,He completed the project alone.
旦那,だんな,"master (of house), husband (informal)",旦那は家庭の主として責任を持つ。,The husband takes responsibility as the master of the house.
短波,たんぱ,short wave,短波ラジオは遠くの国からの放送を受信するのに役立つ。,Shortwave radios are useful for receiving broadcasts from distant countries.
蛋白質,たんぱくしつ,protein,蛋白質は体の機能に重要な役割を果たす。,Proteins play an important role in body functions.
ダンプ,ダンプ,dump truck,その建設現場ではダンプが土砂を運んでいる。,"In the construction site, dump trucks are transporting soil and sand."
断面,だんめん,cross section,断面図を見ると建物の構造がより理解しやすくなる。,"By looking at a cross section diagram, it becomes easier to understand the building's structure."
弾力,だんりょく,"elasticity, flexibility",物質の弾力性はその柔軟性を表す。,The elasticity of a material signifies its flexibility.
治安,ちあん,"public order, security",良い治安が社会の安定に影響を与える。,Good public order has an impact on the stability of society.
チームワーク,チームワーク,teamwork,チームワークがあれば難題も乗り越えられる。,"With teamwork, even difficult challenges can be overcome."
チェンジ,チェンジ,change,変化は生活に新鮮さをもたらす。,Change brings freshness to life.
違える,ちがえる,to change,時には方針を違えることも重要だ。,"At times, it's important to change direction."
畜産,ちくさん,animal husbandry,畜産業は食料供給に欠かせない。,Animal husbandry is essential for food supply.
畜生,ちくしょう,"beast, brute, damn",彼の行動はまるで畜生のようだ。,His actions are beastly.
蓄積,ちくせき,"accumulation, accumulate, store",知識は蓄積された経験から生まれる。,Knowledge arises from accumulated experience.
地形,ちけい,"landform, geographical features, topography",地形図で地球の輪郭を学ぶ。,Study the Earth's contours on a topographical map.
知性,ちせい,intelligence,知性は人間を他の生物と区別する。,Intelligence distinguishes humans from other living beings.
乳,ちち,"milk, breast, loop",牛乳は多くの栄養素を含む。,Milk contains many nutrients.
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink",時間が迫るにつれ、距離は縮み始めた。,"As the deadline approached, the distance began to shrink."
秩序,ちつじょ,"order, regularity",組織には秩序が欠かせない。,Order is essential in an organization.
窒息,ちっそく,suffocation,窒息する危険がある場合、速やかに対処する必要がある。,"If there is a risk of suffocation, prompt action is necessary."
知的,ちてき,intellectual,知的好奇心は学びの源泉だ。,Intellectual curiosity is the source of learning.
着手,ちゃくしゅ,"embarkation, launch",新プロジェクトに着手する前に計画を十分に練る。,"Before starting a new project, thoroughly plan the details."
着色,ちゃくしょく,"coloring, coloring",この服は着色が鮮やかで目を引く。,This garment stands out with its vibrant coloring.
着席,ちゃくせき,"sit down, seat",全員が着席したので会議が始まった。,The meeting started once everyone was seated.
着目,ちゃくもく,attention,彼は新しいプロジェクトに着目している。,He is focusing on the new project.
着陸,ちゃくりく,"landing, touch down",その飛行機は無事に着陸した。,The airplane landed safely.
着工,ちゃっこう,start of (construction) work,新しいビルの着工式が盛大に行われた。,The groundbreaking ceremony for the new building was grand.
茶の間,ちゃのま,living room (Japanese style),友人たちを茶の間に招待して楽しいひとときを過ごした。,Invited friends to the living room and had a good time together.
茶の湯,ちゃのゆ,tea ceremony,茶の湯は日本の伝統的な儀式だ。,The tea ceremony is a traditional Japanese ritual.
ちやほや,ちやほや,"pamper, make a fuss of, spoil",彼女は赤ちゃんをちやほやしている。,She is spoiling the baby.
チャンネル,チャンネル,a channel,テレビでチャンネルを変えて、好きな番組を見た。,Changed the channel on the TV to watch a favorite program.
宙返り,ちゅうがえり,"somersault, looping-the-loop",彼女は一回転半の宙返りを見事に成功させた。,She performed a perfect one-and-a-half somersault.
中継,ちゅうけい,"relay, hook-up",中継で試合の模様を生放送で伝える。,Broadcast the live coverage of the game through a relay.
忠告,ちゅうこく,"advice, warning",上司からの忠告を真剣に受け止めるべきだ。,One should take their boss's advice seriously.
中傷,ちゅうしょう,"slander, libel, defamation",彼女は中傷されている。,She is being slandered.
中枢,ちゅうすう,"center, mainstay, nucleus",その計画の中枢を担う人物だ。,He is at the center of the plan.
抽選,ちゅうせん,"lottery, raffle, drawing (of lots)",明日、抽選が行われます。,The lottery will be held tomorrow.
中断,ちゅうだん,"interruption, suspension, break",授業中断のお知らせです。,This is an announcement of class suspension.
中毒,ちゅうどく,poisoning,食中毒に注意してください。,Please be careful of food poisoning.
中腹,ちゅうふく,"mountain side, halfway up",山の中腹に住んでいます。,I live halfway up the mountain.
中立,ちゅうりつ,neutrality,その国は中立を宣言した。,The country declared its neutrality.
中和,ちゅうわ,"neutralize, counteract",塩味を中和する。,Neutralize the saltiness.
～著,～ちょ,written by ~,彼著の小説がベストセラーだ。,His novel is a bestseller.
腸,ちょう,"bowels, intestines",腸の調子が悪い。,I have stomach trouble.
蝶,ちょう,butterfly,公園で美しい蝶を見た。,I saw a beautiful butterfly in the park.
超,ちょう,"super-, ultra-, hyper-",超高層ビルが建設された。,A super high-rise building was constructed.
調印,ちょういん,"signature, sign, sealing",契約書に調印する。,Sign the contract.
聴覚,ちょうかく,the sense of hearing,聴覚が鋭い。,He has a keen sense of hearing.
長官,ちょうかん,"chief, (government) secretary",外務省の長官に任命された。,He was appointed as the Minister of Foreign Affairs.
聴講,ちょうこう,"lecture attendance, auditing",大学で講義を聴講する。,Auditing lectures at the university.
徴収,ちょうしゅう,"collection, levy",税金の徴収が始まった。,Tax collection has begun.
聴診器,ちょうしんき,stethoscope,医師が聴診器を使っている。,The doctor is using a stethoscope.
調停,ちょうてい,"arbitration, conciliation, mediation",労使間の調停が成功した。,The mediation between labor and management was successful.
重複,ちょうふく,"duplication, repetition, overlapping, redundancy, restoration",情報の重複を避ける。,Avoid duplication of information.
長編,ちょうへん,"long (e.g., novel, film)",長編小説を執筆している。,I am writing a long novel.
重宝,ちょうほう,"convenient, useful",そのアプリはとても重宝している。,That app is very useful.
調理,ちょうり,cooking,毎日の家庭料理を調理する。,Cook daily home-cooked meals.
調和,ちょうわ,harmony,家族間の調和を大切にする。,Treasure harmony within the family.
ちょくちょく,ちょくちょく,"often, frequently, now and then, occasionally",彼はちょくちょく遊びに来る。,He often comes to play.
直面,ちょくめん,confrontation,直面した困難を乗り越える。,Overcome the difficulties you face.
著書,ちょしょ,"literary work, book",彼の著書は人気がある。,His literary works are popular.
貯蓄,ちょちく,savings,将来のために貯蓄をする。,Save money for the future.
直感,ちょっかん,"intuition, instinct",直感に従って行動する。,Act on intuition.
著名,ちょめい,"well-known, noted, celebrated",その詩人は著名な人物だ。,The poet is a well-known figure.
ちらっと,ちらっと,"at a glance, by accident",ちらっと覗いてみたら、彼女がいた。,I glanced over and saw her.
塵,ちり,"dust, dirt",部屋の中に塵が舞っていた。,Dust was swirling in the room.
塵取り,ちりとり,dustpan,お掃除用の塵取りを買う。,Buy a dustpan for cleaning.
賃金,ちんぎん,wages,労働者たちの賃金を増やす。,Increase the wages of workers.
沈殿,ちんでん,"precipitation, deposition, settlement",液体から沈殿物ができた。,A deposit formed from the liquid.
沈没,ちんぼつ,"sinking, foundering",船は海に沈没した。,The ship sank in the ocean.
沈黙,ちんもく,"silence, reticence",彼女は沈黙を守った。,She maintained silence.
陳列,ちんれつ,"exhibition, display, show",美術館で絵画が陳列されている。,Paintings are displayed in the art gallery.
追及,ついきゅう,"investigation, inquiry",事件の真相を追及する。,Investigate the truth of the incident.
追跡,ついせき,pursuit,警察が犯人を追跡している。,The police are tracking down the criminal.
追放,ついほう,"exile, banishment",その国の反政府派は追放処分を受けた。,The anti-government faction of that country was subjected to exile.
費やす,ついやす,"to spend, to devote, to waste",彼は時間を費やして新しい技術を学んだ。,He spent time to learn the new technology.
墜落,ついらく,"falling, crashing",飛行機が墜落して多くの犠牲者が出た。,The plane crashed and resulted in many casualties.
痛感,つうかん,"feeling keenly, fully realizing",その事故は私に危険性を痛感させた。,The accident made me keenly aware of the danger.
通常,つうじょう,"common, normal, usual",電車の運行は通常通り行われています。,The train service is running as usual.
痛切,つうせつ,"keen, deep",失敗の痛切さを感じる。,Feel deeply the pain of failure.
杖,つえ,cane,老人が杖をついて歩いている。,The elderly person is walking with a cane.
使い道,つかいみち,use,このツールに良い使い道を見出すことが重要です。,It is important to find a good use for this tool.
仕える,つかえる,"to serve, to work for",彼は多くの年をその団体に仕えた。,He served that organization for many years.
司る,つかさどる,"to rule, to govern, to administer",彼は組織のリーダーシップを司っている。,He rules the leadership of the organization.
つかの間,つかのま,"moment, brief time,",忙しい毎日の中、つかの間の休息を取る。,Take a moment of rest in the midst of busy days.
月並,つきなみ,"conventional, trite, common",そのお店の料理は月並みで特別感がない。,The food at that restaurant is ordinary and lacks uniqueness.
継目,つぎめ,"joint, seam",この服の継目が破れてしまった。,The seam of this clothing has torn.
尽きる,つきる,"to be used up, to be run out",エネルギーが尽きる前に休息をとってください。,Rest before your energy runs out.
尽くす,つくす,"to exhaust, to run out; to devote, to serve",彼は仕事に全力を尽くした。,He devoted himself fully to the work.
つくづく,つくづく,"completely, really",この問題についてつくづく考えてみる。,Really think deeply about this issue.
作り,つくり,"make up, structure, physique",その家は古い作りですが、とても快適です。,"The house has an old structure, but it is very comfortable."
造り,つくり,"make up, structure, physique",この食堂の造りがとてもユニークです。,The structure of this cafeteria is very unique.
繕う,つくろう,"to mend, to repair",古い布団を繕って再利用した。,Repaired and reused the old futon.
付け加える,つけくわえる,to add one thing to another,話に付け加えて興味を引き上げる。,Add to the story to increase interest.
告げる,つげる,to inform,彼は重大な決定を彼女に告げた。,He informed her of the important decision.
つじつま (はなしの～),つじつま (はなしの～),"coherence, consistency",この話のつじつまを合わせるのは難しい。,It's difficult to make the story coherent.
筒,つつ,"pipe, tube",その筒には砂糖が入っています。,The tube contains sugar.
突く,つつく,"to thrust, to strike, to attack; to poke, to nudge, to pick at",彼はナイフで肉を突いた。,He poked the meat with a knife.
突っ突く,つっつく,to prompt someone,私に答えを突っ突かないでください。,Please do not prompt me for an answer.
謹む,つつしむ,"to be careful, to be chaste or discreet",神社で謹んで手を合わせた。,Reverently prayed at the shrine.
突っ張る,つっぱる,"to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on",前方に強く突っ張りながら走った。,Ran forward with strength and determination.
務まる,つとまる,"be equal, be fit",その職務は彼に務まっているのか疑わしい。,It is doubtful whether he is fit for that job.
勤め先,つとめさき,place of work,私の勤め先は大手企業です。,My place of work is a major corporation.
努めて,つとめて,"make an effort!, work hard!",この目標を達成するために努めています。,I am working hard to achieve this goal.
津波,つなみ,"tsunami, tidal wave",避難警報が発令された時、津波が来るかもしれない。,"When a evacuation warning is issued, a tsunami may come."
つねる,つねる,to pinch,母は子供の頬をやさしくつねった。,The mother gently pinched the child's cheek.
角,つの,horn,動物の角は何を象徴していますか？,What do horns on animals symbolize?
募る,つのる,"to invite, to solicit help, participation, etc",支援のための募金活動を行っています。,Engaging in fundraising for support.
唾,つば,"saliva, spit, sputum",地面に唾を吐いてはいけません。,Do not spit on the ground.
呟く,つぶやく,"to mutter, to murmur",彼女はひそひそと何かを呟いた。,She muttered something quietly.
つぶら,つぶら,"round, rotund",その子供の目はつぶらな瞳をしていた。,"The child had round, innocent eyes."
つぶる (めを～),つぶる (めを～),to close the eyes,試験中は目をつぶってはいけません。,"During the exam, do not close your eyes."
壷,つぼ,"jar, pot, vase",古い壷がアンティークショップで見つかりました。,An old jar was found at the antique shop.
蕾,つぼみ,"bud, flower bud",春の訪れと共に花の蕾が咲いてきた。,"With the arrival of spring, flower buds blossomed."
連なる,つらなる,"to extend, to stretch out, to stand in a row",この道は果てしなく連なっている。,This road stretches on endlessly.
貫く,つらぬく,to go through,彼は困難を貫いて進んだ。,He persevered through the difficulties.
連ねる,つらねる,"to link, to join, to put together",二人は手をつないで列に連ねた。,The two held hands as they joined the line.
釣り鐘,つりがね,temple bell (for striking),お寺の釣り鐘が鳴る。,The temple bell rings.
吊り革,つりかわ,strap,満員電車では吊り革を握る。,"In a crowded train, you hold onto the hanging strap."
手当,てあて,"allowance, compensation; treatment",怪我をしたときは手当をしっかりとすることが大切だ。,It's important to properly treat injuries.
定義,ていぎ,definition,その言葉の定義を知っていますか？,Do you know the definition of that word?
提供,ていきょう,"offer, program sponsoring",無料でサービスを提供する。,To offer services for free.
提携,ていけい,"cooperation, tie-up, joint business",企業同士が提携して新商品を開発した。,The companies collaborated to develop a new product.
体裁,ていさい,"decency, style, form, appearance",そのレポートの体裁が整っている。,The report is well presented.
提示,ていじ,"presentation, exhibit, suggest, citation",アイデアを提示する。,To present an idea.
ティシュペーパー,ティシュペーパー,tissue,ティシュペーパーを取ってください。,Please take a tissue.
定食,ていしょく,"fixed-price lunch, set meal, dinner",ランチは定食で食事する。,Having a set meal for lunch.
訂正,ていせい,"correction, revision",誤りを見つけて訂正する。,To correct errors when found.
停滞,ていたい,"stagnation, tie-up, congestion, retention",経済が停滞している。,The economy is stagnating.
邸宅,ていたく,"mansion, residence",近くに邸宅が建つ。,A mansion is being built nearby.
定年,ていねん,retirement age,彼は60歳で定年退職する。,He will retire at the age of 60.
堤防,ていぼう,"bank, weir",川の堤防を強化する。,To strengthen the riverbank.
手遅れ,ておくれ,being (too); belated treatment,手遅れになる前に行動しなければならない。,We must act before it's too late.
でかい,でかい,huge,その建物はとてもでかい。,That building is huge.
手掛かり,てがかり,"hint, clue, key",事件の解決に重要な手掛かりを見つけた。,Found a crucial clue to solving the case.
手掛ける,てがける,"to handle, to manage, to work with",新しいプロジェクトを手掛ける。,To undertake a new project.
手数,てかず,"trouble, labor, handling",手数をかけないようにする。,To avoid causing trouble.
手軽,てがる,"easy, simple, cheap",手軽に美味しい料理を作る。,To make delicious dishes easily.
適応,てきおう,"adaptation, accommodation, conformity",新しい環境に適応する。,To adapt to a new environment.
適宜,てきぎ,suitability,必要に応じて適宜対応する。,Handle it appropriately as needed.
適性,てきせい,aptitude,自分の適性を考える。,To consider one's aptitude.
できもの,できもの,"boil, rash",夏にできものができやすい。,Skin rashes are common in summer.
手際,てぎわ,"performance, skill, tact",仕事の手際が良い。,Efficient in handling work.
出くわす,でくわす,"to happen to meet, to come across",駅で友達に出くわした。,Met a friend at the station.
手順,てじゅん,"process, procedure, protocol",手順を追って進める。,Follow the steps one by one.
手錠,てじょう,"handcuffs, manacles",容疑者は手錠をかけられた。,The suspect was handcuffed.
手数,てすう,"trouble, labor, handling",手数をかけないようにする。,To avoid causing trouble.
デコレーション,デコレーション,decoration,パーティーのデコレーションをする。,To decorate for the party.
手近,てぢか,"near, handy, familiar",手近な本を読む。,Read a book that's close at hand.
てっきり,てっきり,"surely, certainly, beyond doubt",てっきり遅れると思っていた。,I was sure they would be late.
鉄鋼,てっこう,iron and steel,鉄鋼業界の発展は著しい。,Remarkable progress in the iron and steel industry.
デッサン,デッサン,rough sketch (FRE: dessin),アイデアをデッサンに書き起こす。,Sketching out ideas on a rough sketch.
徹する,てっする,"to devote oneself, to believe in",目標に向けて徹して努力する。,To devote oneself fully to reaching a goal.
てっぺん,てっぺん,"top, summit, apex",山のてっぺんに立つ。,Standing at the top of the mountain.
鉄棒,てつぼう,"iron rod, crowbar, horizontal bar (gymnastics)",彼は鉄棒で体を鍛えた。,He trained his body on the horizontal bar.
出直し,でなおし,"adjustment, touch up",プロジェクトの出直しをする必要がある。,We need to adjust the project.
掌,てのひら,the palm,手のひらに星の形が浮かんでいた。,A star shape appeared on the palm of the hand.
手配,てはい,"arrangement, search (by police)",警察は犯人の手配を行った。,The police made arrangements to catch the criminal.
手筈,てはず,"arrangement, plan, program",計画が手筈通りに進んでいる。,The plan is proceeding as arranged.
手引,てびき,"guidance, guide, introduction",初めての訪問者に手引をする。,To guide first-time visitors.
手本,てほん,"model, pattern",この書は手本として使える。,This book can be used as a model.
手回し,てまわし,"preparations, arrangements",イベントの手回しを始めましょう。,Let's start making arrangements for the event.
手元,てもと,"(money) on hand or at home, one's purse; usual skill",手元にお金を持っていた。,I had money at hand.
デモンストレーション,デモンストレーション,demonstration,彼らは平和を求めてデモンストレーションを行った。,They held a demonstration for peace.
照り返す,てりかえす,"to reflect, to throw back light",川面に太陽光が照り返っていた。,The sunlight was reflecting off the surface of the river.
テレックス,テレックス,"telex, teletypewriter exchange",昔はテレックスでコミュニケーションを取っていた。,Communication was done through telex in the past.
手分け,てわけ,division of labor,仕事を手分けして効率よく進める。,Divide the work and proceed efficiently.
