Kanji,Reading,Meaning,Japanese Example,English Example
素,もと,prime,彼の素直な性格が好感がもたれた。,His honest nature was well-liked.
戻す,もどす,"to restore, to put back, to return",本を読み終わったら図書館に戻してください。,Please return the book to the library after you finish reading it.
基づく,もとづく,"to be grounded on, to be based on",その法律は憲法に基づいて制定された。,The law was enacted based on the constitution.
求める,もとめる,"to request, to ask for; to seek, to search for",新しい知識を求めることは成長に欠かせない。,Seeking new knowledge is essential for growth.
者,もの,person (same as 人 (ひと)),彼は勤勉な者だ。,He is a diligent person.
物音,ものおと,sounds,夜に物音が聞こえる。,I can hear sounds at night.
物語,ものがたり,"tale, story, legend",昔々、素敵な物語があった。,"Once upon a time, there was a wonderful tale."
物事,ものごと,"things, everything",物事を理解する。,To understand everything.
燃やす,もやす,to burn,ゴミを燃やす。,To burn the trash.
模様,もよう,"pattern, figure, design",この布の模様が可愛い。,The pattern on this fabric is cute.
文句,もんく,a complaint,彼女はいつも文句を言う。,She always complains.
やがて,やがて,"before long, soon, at length",雨が止んで、やがて晴れるだろう。,"The rain will stop, and soon it will be sunny."
役,やく,"role, position",会議で重要な役を果たす。,Play an important role in the meeting.
約,やく,"approximately, about, some",約10分後に始まります。,It will start in about 10 minutes.
訳,やく,translation,その本を訳すのは難しい。,Translating that book is difficult.
訳す,やくす,to translate,この英語を日本語に訳してください。,Please translate this English into Japanese.
役割,やくわり,"assigning (allotment of) parts, role, duties",彼は会社で大切な役割を担っている。,He plays an important role in the company.
家賃,やちん,rent,アパートの家賃が高くなった。,The rent for the apartment has gone up.
厄介,やっかい,"trouble, burden, care",この問題は厄介だ。,This problem is troublesome.
宿,やど,"inn, lodging",旅館は宿を提供しています。,The inn provides lodging.
雇う,やとう,"to employ, to hire",新しい社員を雇う予定です。,We plan to hire new employees.
屋根,やね,roof,家の屋根が赤いです。,The roof of the house is red.
破る,やぶる,to tear; to violate; to defeat,契約を破る。,To break a contract.
破れる,やぶれる,"to get torn, to wear out",古いシャツが破れてしまった。,The old shirt got torn.
辞める,やめる,to retire,彼は会社を辞めました。,He quit the company.
やや,やや,"a little, partially, somewhat",その料理はやや辛いです。,That dish is somewhat spicy.
唯一,ゆいいつ,"only, sole, unique",彼は唯一の息子だ。,He is the only son.
勇気,ゆうき,"courage, bravery, boldness",彼女は勇気を持って挑戦しました。,She bravely took on the challenge.
友好,ゆうこう,friendship,国と国の友好関係を強化する。,To strengthen the friendship between countries.
有効,ゆうこう,"valid, effectual",この券は1年間有効です。,This ticket is valid for one year.
優秀,ゆうしゅう,"superiority, excellence",彼は優秀な学生です。,He is an excellent student.
優勝,ゆうしょう,"overall victory, championship",チームは全体優勝を果たした。,The team achieved an overall victory.
友情,ゆうじょう,"friendship, fellowship",二人の友情は深い。,The friendship between them is deep.
友人,ゆうじん,friend (formal),彼は私の親しい友人です。,He is my close friend.
有能,ゆうのう,"able, capable, efficient",彼女は非常に有能なリーダーだ。,She is a very capable leader.
郵便,ゆうびん,"mail, postal service",郵便で手紙を送ります。,I will send the letter by mail.
ユーモア,ユーモア,humor,彼のユーモアは誰もが楽しむ。,Everyone enjoys his humor.
有利,ゆうり,"advantageous, better",その提案は私たちにとって有利だ。,That proposal is advantageous for us.
床,ゆか,floor,床に座って本を読む。,To sit on the floor and read a book.
愉快,ゆかい,"pleasant, happy",愉快な人々と過ごす時間。,Time spent with cheerful people.
譲る,ゆずる,"to turn over, to assign, to hand over",彼は譲って仕事を引き受けた。,He handed over the work by yielding.
豊か,ゆたか,"abundant, wealthy, plentiful, rich",豊かな自然が広がっている。,Expansive rich nature spreads out.
茹でる,ゆでる,to boil,卵を茹でてください。,Please boil the eggs.
許す,ゆるす,"to permit, to allow, to approve",彼を許すことができますか？,Can you forgive him?
夜,よ,"evening, night",夜は静かです。,The night is quiet.
夜明け,よあけ,"dawn, daybreak",夜明けの空は美しい。,The dawn sky is beautiful.
酔う,よう,to get drunk,彼は飲みすぎて酔っ払った。,He got drunk from drinking too much.
容易,ようい,"easy, simple, plain",その問題は容易に解決できる。,That problem can be easily solved.
容器,ようき,"container, vessel",この容器に水を入れてください。,Please put water in this container.
陽気,ようき,"season, weather, cheerfulness",今日は陽気がいい。,The weather is cheerful today.
要求,ようきゅう,"request, demand",上司からの要求に応じる。,Meet the demands of the boss.
用心,ようじん,"care, precaution, caution",夜遅く帰るときは用心してね。,Be cautious when coming home late at night.
様子,ようす,"aspect, state, appearance",彼女の様子が心配だ。,I'm worried about her condition.
要するに,ようするに,"in a word, after all, in short …",要するに、そのアイデアはダメだ。,"In short, that idea won't work."
要素,ようそ,element,この問題の要素を理解する。,Understand the elements of this problem.
要点,ようてん,"gist, main point",レポートの要点を説明する。,Explain the main points of the report.
曜日,ようび,day of the week,曜日ごとに計画を立てる。,Plan for each day of the week.
ヨーロッパ,ヨーロッパ,Europe,ヨーロッパに行きたい。,I want to go to Europe.
予期,よき,"expectation, forecast",事件の予期を防ぐ。,Prevent the anticipation of the event.
横切る,よこぎる,"to cross (e.g., arms), to traverse",道を横切るときに注意して。,Be careful when crossing the road.
汚す,よごす,"to pollute, to make dirty",机を汚すな。,Don't dirty the desk.
予算,よさん,"estimate, budget",来年の予算を立てる。,Create a budget for next year.
止す,よす,"to cease, to give up",雨が止んだ。,The rain stopped.
寄せる,よせる,"to collect, to gather, to put aside",お金を貯めるために少しずつ寄せていく。,Save money little by little.
予測,よそく,"prediction, estimation",未来を予測するのは難しい。,Predicting the future is difficult.
ヨット,ヨット,yacht,ヨットで海を航海する。,Sail the sea on a yacht.
夜中,よなか,"midnight, dead of night",夜中に何か音がした。,There was a noise in the middle of the night.
世の中,よのなか,"society, the world",世の中は広い。,The world is vast.
余分,よぶん,"extra, excess, surplus",余分なお金を使うな。,Don't spend extra money.
予報,よほう,"forecast, prediction",天気予報を見る。,Check the weather forecast.
予防,よぼう,"prevention, protection against",予防接種を受ける。,Get vaccinated for prevention.
読み,よみ,reading,漢字の読み方が分からない。,I don't know how to read kanji.
嫁,よめ,"bride, daughter-in-law",彼女は素敵な嫁だ。,She is a wonderful daughter-in-law.
余裕,よゆう,excess; surplus,余裕がないとストレスが増える。,Stress increases without margin.
より,より,"twist, ply",この糸はよりをかける。,This thread is twisted.
因る,よる,to come from,その問題は貧困から因る。,The issue stems from poverty.
喜び,よろこび,"joy, pleasure, rejoicing",成功したときの喜びは最高だ。,The joy of success is the best.
よろしく (かん),よろしく (かん),"best regards, please remember me",よろしくお願いします。,"Best regards, please."
四,よん,four,四人でレストランに行った。,I went to the restaurant with four people.
来,らい～,next ~,来週から新しいプロジェクトが始まる。,A new project will start next week.
ライター,ライター,lighter; writer,彼はライターとして活躍している。,He is active as a writer.
楽,らく,"comfort, ease",休日は楽しい時間だ。,Holidays are enjoyable times.
ラケット,ラケット,racket,テニスのラケットを持っていく。,Bring the tennis racket.
利益,りえき,"profits, gains",企業の利益が増加した。,The company's profits increased.
理解,りかい,"understanding, comprehension",彼の説明を理解するのは難しい。,It is difficult to understand his explanation.
陸,りく,"land, shore",陸地を探検するのが好きです。,I like to explore the land.
利口,りこう,"clever, shrewd, bright",彼女は利口な解決策を見つけた。,She found a clever solution.
離婚,りこん,divorce,離婚することは決して簡単ではない。,Divorce is never easy.
理想,りそう,ideal,私の理想は世界平和です。,My ideal is world peace.
率,りつ,"rate, ratio, percentage",成功率が高い手術です。,It is a surgery with a high success rate.
留学,りゅうがく,studying abroad,彼女はフランスで留学しています。,She is studying abroad in France.
流行,りゅうこう,"fashionable, fad, prevailing",最近の流行はスニーカーです。,The latest trend is sneakers.
量,りょう,"quantity, amount",水の量を計りましょう。,Let's measure the amount of water.
寮,りょう,"hostel, dormitory",大学の寮に住んでいました。,I lived in the university dormitory.
両替,りょうがえ,"change, money exchange",外国通貨を両替する必要があります。,I need to exchange foreign currency.
料金,りょうきん,"fee, charge, fare",電車の料金を支払う。,Pay the train fare.
例,れい,"instance, example, case",この例を使って説明します。,I will explain using this example.
礼,れい,expression of gratitude; bow,礼を尽くすべきです。,One should show gratitude.
例外,れいがい,exception,厳しい規則には例外があります。,There are exceptions to strict rules.
礼儀,れいぎ,"manners, courtesy, etiquette",礼儀正しいふるまいが重要です。,Good manners are important.
冷静,れいせい,"calm, coolness",冷静な判断が求められる。,A calm judgment is required.
列,れつ,"queue, line, row",列に並ぶことは大変です。,It is hard to line up in a queue.
列車,れっしゃ,train (ordinary),列車の時刻表を調べる。,Check the train schedule.
レベル,レベル,level,日本語の能力レベルが上がった。,My Japanese proficiency level has improved.
連想,れんそう,"association (of ideas), suggestion",その言葉にはいい連想がある。,That word has a positive association.
連続,れんぞく,"consecutive, continuity, continuing",学習を連続させることが重要です。,It is important to continue learning.
老人,ろうじん,"the aged, old person",公園で老人たちが散歩している。,Elderly people are taking a walk in the park.
労働,ろうどう,"labor, work",労働者たちの権利を守る。,Protect the rights of workers.
ロケット,ロケット,"locket, rocket",ロケットが打ち上げられた。,The rocket was launched.
論じる,ろんじる,"to argue, to discuss",その問題について論じる必要がある。,There is a need to discuss the issue.
論争,ろんそう,"controversy, dispute",論争が続いている。,The controversy continues.
論文,ろんぶん,"thesis, paper",大学の論文を書く。,Write a thesis paper for university.
輪,わ,"ring, hoop, circle",輪になって手を繋いでください。,Please hold hands and form a circle.
ワイン,ワイン,wine,ワインのボトルを開ける。,Open a bottle of wine.
わがまま,わがまま,"selfishness, egoism, willfulness",わがままな態度を改めなければならない。,You must change your selfish attitude.
別れ,わかれ,"parting, separation, farewell",別れの言葉を交わす。,Exchange parting words.
分かれる,わかれる,"to branch off, to diverge from",2本の道がここで分かれている。,The two roads diverge here.
脇,わき,side,車の脇に駐車する。,Park the car on the side of the road.
湧く,わく,"to boil, to grow hot",泉から熱い水が湧いている。,Hot water is bubbling from the spring.
分ける,わける,"to divide, to separate",ジュースを等分に分けてください。,Please divide the juice equally.
わざと,わざと,on purpose,わざとらしく振る舞う。,Behave in an intentionally noticeable manner.
僅か,わずか,"only, merely, a little",僅かな変化が見られた。,A slight change was observed.
綿,わた,cotton,綿を使った服は涼しい。,Clothes made of cotton are cool.
話題,わだい,"topic, subject",日本語の話題を選んでください。,Please choose a topic in Japanese.
笑い,わらい,"laugh, laughter, smile",その映画は面白くて、笑いが絶えなかった。,"That movie was so funny, the laughter never stopped."
割る,わる,"to divide, to break",木を割って、薪を作る。,Splitting wood to make firewood.
悪口,わるくち,"abuse, insult",人を傷つけるような悪口を言ってはいけない。,You shouldn't say hurtful insults to people.
我々,われわれ,we,我々は一緒にこの問題を解決する。,We will solve this problem together.
湾,わん,"bay, gulf, inlet",その湾は美しい景色で知られている。,The bay is known for its beautiful scenery.
椀,わん,bowl,お椀にお味噌汁を注いでください。,Please pour miso soup into the bowl.
碗,わん,bowl,食卓にきれいな彩りのある碗を並べた。,I arranged beautifully colored bowls on the table.
悪,あく,"evil, vice",悪しき習慣を改めるべきだ。,Bad habits should be corrected.
当り,あたり,"hit, success, reaching the mark",当りくじで豪華な賞品を手に入れた。,I won a luxurious prize in a lottery.
アップ,アップ,up,スポーツ選手はパフォーマンスをアップさせるために練習を重ねる。,Athletes practice to improve their performance.
宛てる,あてる,"to address, to put",手紙を特定の住所宛てに送る。,To send a letter to a specific address.
アンケート,アンケート,"questionnaire (FRE: enquete), survey",最近、アンケート調査が行われた。,A questionnaire survey was recently conducted.
異,い,difference (of opinion),異なる意見があっても尊重すべきだ。,"Even if there are different opinions, they should be respected."
意,い,will,彼の意志は強固である。,His will is strong.
医院,いいん,"doctor's office (surgery), clinic",田舎に小さな医院がある。,There is a small clinic in the countryside.
怒り,いかり,anger,怒りを抑えることは重要だ。,It is important to control your anger.
粋,いき,"chic, style, purity",彼女のファッションセンスはとても粋だ。,Her sense of fashion is very chic.
意地,いじ,"disposition, spirit, obstinacy, appetite",意地を張るのは良くない。,It's not good to be stubborn.
依然,いぜん,"still, as yet",その問題は依然として解決されていない。,The problem has not been solved yet.
傷める,いためる,"to damage, to impair, to spoil",大切なものを傷めることは避けなければならない。,You must avoid damaging important things.
炒める,いためる,to stir-fry,野菜を炒めて美味しい炒め物を作った。,I made a delicious stir-fry by stir-frying vegetables.
一帯,いったい,"a region, the whole place",この一帯は静かで自然が豊かだ。,This area is quiet and abundant in nature.
異動,いどう,"a change, transfer",会社内で異動があった。,There was a transfer within the company.
衣料,いりょう,clothing,衣料品店で服を買った。,I bought clothes at a clothing store.
渦,うず,swirl,水面に大きな渦ができていた。,There was a big swirl on the water surface.
埋まる,うまる,"to be buried, to be filled",穴が埋まる前に種を植える。,Plant seeds before the hole is filled.
産む,うむ,"to give birth (v.t.), to deliver, to produce",彼女は健康な赤ちゃんを産んだ。,She gave birth to a healthy baby.
縁,えん,"chance, tie, relationship",運命の縁を信じる。,Believe in the fateful ties.
尾,お,"tail, ridge",猫の尾がふりふり動いていた。,The cat's tail was flicking back and forth.
負う,おう,"to bear, to owe",彼は多くの責任を負っている。,He bears a lot of responsibilities.
遅れ,おくれ,"delay, lag",列車が予定よりも遅れている。,The train is running late compared to the schedule.
教え,おしえ,"teachings, doctrine",古代の教えを大切に伝える。,Pass on the teachings of the ancients with care.
驚き,おどろき,"surprise, astonishment, wonder",彼の変化には驚きを隠せない。,I can't hide my surprise at his change.
織る,おる,to weave,手で布を織る技術を持っている。,Have the skill to weave cloth by hand.
欠く,かく,"to lack, to crack",プレゼン資料に情報が欠けている。,The presentation materials lack information.
角,かく,angle,四角形にラインを引く。,Draw lines in a square shape.
核,かく,"nucleus, kernel",原子核の研究が進んでいる。,Research on atomic nuclei is progressing.
格,かく,"status, character, case",社会的な格差をなくすために取り組む。,Work towards eliminating social class disparity.
学歴,がくれき,academic background,学歴だけが人の価値を決めるわけではない。,Educational background alone does not determine a person's value.
駆ける,かける,to run,野生の馬が原野を駆けていた。,The wild horse was running across the prairie.
賭ける,かける,"to bet, to risk, to gamble",彼は試合に賭けることを決めた。,He decided to bet on the game.
課題,かだい,"subject, theme, task",新しい課題に取り組む準備をしています。,I am preparing to tackle the new task.
片付け,かたづけ,"tidying up, finishing",部屋を片付ける時間がありません。,I don't have time to tidy up the room.
加味,かみ,"seasoning, flavoring",料理にお好みの調味料を加味してください。,Please season the dish with your favorite flavorings.
借り,かり,"borrowing, debt, loan",友達からお金を借りることを頼んだ。,I asked my friend to lend me some money.
狩り,かり,hunting,昔、一緒に狩りに出かけたことがある。,I used to go hunting with him in the past.
管,かん,"pipe, tube",この管は水を運ぶために使われます。,This pipe is used to transport water.
～観,かん,"feeling, view",彼女の観点から問題を考える。,Think about the problem from her point of view.
癌,がん,cancer,彼女の祖母は癌で亡くなった。,Her grandmother passed away from cancer.
刊行,かんこう,"publication, issue",新しい雑誌の刊行を始めた。,They started the publication of a new magazine.
慣行,かんこう,"customary practice, habit, traditional event",その地域での結婚式の慣行を知っていますか？,Do you know the customary practices of weddings in that area?
歓声,かんせい,"cheer, shout of joy",コンサートで歓声が沸き起こった。,Cheers erupted at the concert.
官僚,かんりょう,"bureaucrat, bureaucracy",彼は官僚制度の改革を提案した。,He proposed a reform of the bureaucracy.
器官,きかん,"organ (of body, instrument)",心臓は人間の重要な器官の1つです。,The heart is one of the vital organs in the human body.
季刊,きかん,"quarterly (e.g., magazine)",この雑誌は四半期ごとに季刊されています。,This magazine is published quarterly.
起源,きげん,"origin, beginning, rise",この伝統の起源は古代に遡る。,The origin of this tradition dates back to ancient times.
機構,きこう,"mechanism, organization",システム全体の機能と構造を理解する。,Understand the function and structure of the system as a whole.
築く,きずく,"to build, to establish",团結によって優れたコミュニティを築くことができる。,"Through unity, one can build a strong community."
規制,きせい,regulation,その業界の新たな規制が導入された。,New regulations in the industry have been introduced.
丘陵,きゅうりょう,hill,青い空に囲まれた美しい丘陵地帯。,Beautiful hilly landscape surrounded by blue sky.
協議,きょうぎ,"conference, discussion, negotiation",重要な問題について協議する必要があります。,We need to discuss important issues in the conference.
享受,きょうじゅ,"enjoyment, being given",彼はその特権を享受する資格がある。,He is entitled to enjoy that privilege.
協調,きょうちょう,"co-operation, conciliation, harmony",グループのメンバーと協調して作業します。,We will work together in harmony with the group members.
切り,きり,"limits, place to leave off",この話題についてはここで切りにしましょう。,Let's wrap up the discussion on this topic here.
菌,きん,"germ, bacterium",食品処理における細菌の役割を知る。,Learn about the role of bacteria in food processing.
近視,きんし,nearsightedness,彼は10歳のときから近視です。,He has been nearsighted since he was 10 years old.
苦,く,"trouble, worry, difficulty",困難な状況に直面しても、彼は苦も甘もなく笑っている。,"Even in difficult situations, he smiles without a hint of trouble or worry."
群,ぐん,group,群れで動く動物たちの行動を観察した。,Observed the behavior of animals moving in groups.
刑,けい,"penalty, sentence, punishment",彼は有罪判決を受け、刑を宣告された。,He was convicted and sentenced to punishment.
経緯,けいい,"sequence of events, course",その事件の経緯を明らかにする。,Clarify the sequence of events in that incident.
計器,けいき,"meter, gauge",この計器は正確な測定が可能です。,This gauge allows for precise measurements.
契機,けいき,"opportunity, chance",その出来事が私に転機をもたらした。,That event brought a turning point in my life.
携帯,けいたい,carrying something; mobile telephone,携帯電話を使用しながら運転することは危険です。,It is dangerous to use a mobile phone while driving.
形態,けいたい,"form, shape, figure",動植物の多様な形態を研究しています。,Studying the diverse forms of flora and fauna.
血管,けっかん,blood vessel,心臓から全身に血液を運ぶ血管。,Blood vessels that carry blood from the heart to the whole body.
決行,けっこう,"doing (with resolve), carrying out (e.g., a plan)",計画をしっかり立てたので、即座に決行しました。,We promptly carried out the plan since it was well-prepared.
件,けん,"matter, case, item",その問題についてさらに調査するべき事項があります。,There are further matters to investigate regarding that issue.
減少,げんしょう,"decrease, reduction, decline",需要の減少が利益に影響を与えている。,The decrease in demand is affecting the profits.
公演,こうえん,public performance,その有名な俳優の新しい舞台公演が好評です。,The new stage performance by that famous actor is well received.
後悔,こうかい,"regret, repentance",後悔する前に慎重に行動することが大切です。,It is important to act carefully before feeling regret.
航海,こうかい,"sail, voyage",新たな航海を始める準備が整った。,Preparations are complete to embark on a new voyage.
拘束,こうそく,"restriction, restraint",犯人を拘束するため、警察が動員された。,The police were mobilized to restrain the criminal.
荒廃,こうはい,ruin,長年の放置により、その建物は荒廃していた。,"Due to years of neglect, the building was in ruins."
降伏,こうふく,"capitulation, surrender, submission",敵軍が降伏し、和平交渉が始まった。,"The enemy forces surrendered, and peace talks began."
興奮,こうふん,"excitement, stimulation",コンサートの演奏により、観客は興奮した。,The audience was excited by the concert performance.
語句,ごく,"words, phrases",この文章には難しい語句が含まれています。,This passage contains complex words and phrases.
個々,ここ,"individual, one by one",個々の意見を尊重して合意を形成しよう。,Let's respect individual opinions and reach a consensus.
故人,こじん,the deceased,故人を偲んで、家族が静かに祈りました。,The family quietly prayed in memory of the deceased.
小銭,こぜに,"coins, small change",財布の中には小銭がたくさん入っている。,There are many coins in the wallet.
ことによると,ことによると,(depending on the circumstances),予定は天候によるところが大きい。,The schedule depends largely on the weather.
コンテスト,コンテスト,contest,彼女はそのコンテストで優勝した。,She won the contest.
採集,さいしゅう,"collecting, gathering",採集隊は珍しい植物を見つけた。,The collection team found rare plants.
作,さく,"a work, a harvest",新しい作の展示が今週から始まります。,The exhibition of new works starts this week.
策,さく,"plan, policy",問題に対処するために新たな策を講じる必要がある。,New measures need to be taken to address the issue.
設備,せつび,"equipment, device, facilities",この施設は最新の設備を整えている。,This facility is equipped with state-of-the-art facilities.
絶滅,ぜつめつ,"destruction, extinction",絶滅危惧種を保護するための取り組みが必要です。,Efforts are needed to protect endangered species from extinction.
節約,せつやく,"economizing, saving",エネルギーを節約するために努力しています。,Efforts are being made to save energy.
攻める,せめる,"to attack, to assault",攻めるべき目標を明確に設定する必要がある。,It is necessary to set clear targets to attack.
責める,せめる,"to condemn, to blame, to criticize",失敗の責めるのではなく、改善策を考えよう。,"Instead of blaming failure, let's think of improvement measures."
善,ぜん,"good, virtue",他人に対して善意を持つことは大切だ。,It is important to have goodwill towards others.
全,ぜん,"all, whole, entire",全力を尽くして最後まで戦い抜く。,Give it your all and fight to the end.
全員,ぜんいん,all members,全員の協力が必要です。,Cooperation from all members is necessary.
専攻,せんこう,"major subject, special study",専攻を選択する際には将来性も考慮に入れるべきだ。,"When choosing a major, future prospects should also be considered."
全国,ぜんこく,"the entire nation, country-wide, nation-wide",全国からの参加者が集まっています。,Participants from across the nation are gathering.
洗剤,せんざい,detergent,この洗剤は強力な油汚れにも効果的です。,This detergent is effective even on tough grease stains.
先日,せんじつ,"the other day, a few days ago",先日、お会いした時のことを思い出しました。,I remembered our meeting a few days ago.
前者,ぜんしゃ,the former,その2つの提案のうち、前者が推進されました。,"Of the two proposals, the former has been promoted."
選手,せんしゅ,player selected for a team (usually athletic),彼は優秀な選手として知られています。,He is known as an excellent player.
全身,ぜんしん,"the whole body, full-length (portrait)",全身の健康を保つために運動が必要です。,Exercise is necessary to maintain overall health.
前進,ぜんしん,"advance, drive, progress",困難に直面しても、前進する勇気を持ち続けよう。,"Even in the face of adversity, let's have the courage to move forward."
センター,センター,center,この建物の中央にセンターが設置されています。,The center is located in the middle of this building.
全体,ぜんたい,"whole, entirety, whatever (is the matter)",問題を理解するために全体を把握する必要がある。,"To understand the issue, it is necessary to grasp the whole."
選択,せんたく,"selection, choice",正しい選択をするために慎重に考えたい。,I want to carefully consider making the right choice.
宣伝,せんでん,"advertisement, publicity",新製品の宣伝活動が好評だった。,The advertising campaign for the new product was well received.
象,ぞう,elephant,象は非常に大きな動物である。,Elephants are very large animals.
騒音,そうおん,noise,この地域は夜間に騒音が多い。,This area has a lot of noise at night.
増加,ぞうか,"increase, addition",需要の増加に対応するため、生産量を増やす必要がある。,"To meet the increased demand, it is necessary to increase production."
操作,そうさ,"operation, management, processing",機械の操作方法をよく理解してから操作を行う。,Understand the operation of the machine well before operating it.
想像,そうぞう,"imagination, guess",彼は物語の続きを自分の想像で補った。,He filled in the rest of the story with his imagination.
相続,そうぞく,"succession, inheritance",遺産相続に関する手続きを進めている。,Proceeding with the procedures for inheriting the estate.
装置,そうち,"equipment, installation, apparatus",研究所には最新の装置が揃っている。,The laboratory is equipped with the latest apparatus.
相当,そうとう,"considerably, fairly; worth ~",この問題に相当必要な知識を持っている。,I have a considerable amount of knowledge on this issue.
速度,そくど,"speed, velocity, rate",車の速度を上げる。,Increase the speed of the car.
底,そこ,"bottom, sole",川の底に何か埋まっている。,There is something buried at the bottom of the river.
そこで,そこで,"so (conj.), accordingly",問題が発生したので、そこで解説します。,"There is a problem, so let's discuss it here."
組織,そしき,organization; structure; tissue,この会社は効率的な組織を持っている。,This company has an efficient organization.
そして,そして,and then,買い物に行って、そして映画を観ました。,I went shopping and then watched a movie.
注ぐ,そそぐ,to pour (into),お茶をコップに注ぐ。,Pour tea into a cup.
育つ,そだつ,"to be brought up, to grow (up)",子供たちは元気に育っている。,The children are growing up healthy.
そっくり,そっくり,the splitting image of; entirely,叔母は私のそっくりさんだと言われる。,People say my aunt is my spitting image.
そっと,そっと,"softly, gently",寝ている子供をそっと見守る。,Quietly watch over the sleeping child.
袖,そで,sleeve,コートの袖が短すぎて寒い。,The coat sleeves are too short and cold.
備える,そなえる,"to prepare, to furnish, to store",台風に備えて非常用品を揃える。,Prepare emergency supplies for the typhoon.
具える,そなえる,to be furnished with,最新テクノロジーを具えた携帯電話。,A mobile phone equipped with the latest technology.
そのうえ,そのうえ,"in addition, furthermore",天候が悪い。そのうえ、交通渋滞だ。,"The weather is bad. Furthermore, there is traffic congestion."
そのうち,そのうち,"before long, eventually, sooner or later",そのうち必ず返信します。,I will definitely reply sooner or later.
そのまま,そのまま,"without change, as it is (e.g., now)",そのままにしてください。,Please leave it as it is.
蕎麦,そば,soba (buckwheat noodles),昼ごはんに蕎麦を食べました。,I had soba noodles for lunch.
ソファー,ソファー,"sofa, couch",リビングルームに新しいソファーが置かれた。,A new sofa was placed in the living room.
粗末,そまつ,"humble, miserable, crude",彼の家は粗末ながら清潔だ。,His house is humble but clean.
それぞれ,それぞれ,"each, every, respectively",クラスメートそれぞれが自己紹介をした。,Each classmate introduced themselves.
それでも,それでも,"but (still), and yet, nevertheless",雨が降っている。それでもピクニックに行く。,"It's raining. Nevertheless, we're going on a picnic."
それと,それと,and,お茶はいかがですか。それと、ケーキもどうぞ。,"Would you like some tea? And also, please have some cake."
それとも,それとも,"or, or else",映画を見る？それとも散歩に行く？,Watch a movie? Or go for a walk?
揃う,そろう,"to become complete, to be equal",メンバーが揃ったので、練習を始める。,"All the members are here, so let's start practice."
揃える,そろえる,"to put things in order, to arrange",机の上を整理して本を揃える。,Organize the desk and arrange the books.
損,そん,"loss, disadvantage",買ったときより高く売れば損する。,You will incur a loss if you sell for more than you bought it for.
損害,そんがい,"damage, loss",事故で車に損害が出た。,The car was damaged in the accident.
尊敬,そんけい,"respect, reverence, honor",彼女をとても尊敬している。,I have a lot of respect for her.
存在,そんざい,"existence, being",宇宙には未知の生命体が存在するかもしれない。,There may be unknown life forms in the universe.
尊重,そんちょう,"respect, esteem, regard",相手の意見を尊重することが大切だ。,It is important to respect other people's opinions.
田,た,rice field,日本の風景には田んぼがよく見られる。,Rice fields are commonly seen in the scenery of Japan.
他,た,other (esp. places and things),他の人に迷惑をかけないように注意する。,Be careful not to inconvenience others.
対,たい,"pair, couple, set",対となる言葉を挙げなさい。,Give the word that corresponds to '対'.
大,だい,"big, great",彼は大きな夢を持っている。,He has big dreams.
題,だい,"title, subject, theme",今日の授業の題は人権に関する問題だ。,Today's lesson theme is about human rights.
体育,たいいく,"physical education, gymnastics, athletics",日本の学校では体育が重要だ。,Physical education is important in Japanese schools.
体温,たいおん,temperature (body),風邪をひいているのか、体温が高い。,I might have caught a cold as my body temperature is high.
大会,たいかい,"convention, (big) tournament, mass meeting",学校の文化祭で各部門で大会が行われた。,Competitions were held in each category at the school festival.
大気,たいき,atmosphere,大気汚染を防ぐために努力する。,Efforts are made to prevent air pollution.
代金,だいきん,"price, cost",この商品の代金はいくらですか？,How much is the price of this item?
退屈,たいくつ,"tedium, boring",この本は全く退屈ではありません。,This book is not boring at all.
滞在,たいざい,"stay, sojourn",日本での滞在はとても楽しかったです。,My stay in Japan was very enjoyable.
大使,たいし,ambassador,彼は日本の大使です。,He is the ambassador of Japan.
大した,たいした,"significant, great, considerable",彼の成績は本当に大したものだ。,His grades are really remarkable.
体重,たいじゅう,(body) weight,体重を減らすために運動をする。,"To lose weight, I exercise."
対象,たいしょう,"target; object (of worship, study, etc.); subject (i.e., of taxation)",研究対象として興味深いテーマだ。,It is an interesting topic as a research subject.
対照,たいしょう,"contrast, antithesis, comparison",この二つを対照的に比較してみましょう。,Let's compare these two in contrast.
大臣,だいじん,cabinet minister,彼は新しい内閣の大臣に任命された。,He was appointed as a cabinet minister in the new cabinet.
対する,たいする,"to face, to confront, to oppose",異なる立場からの意見にも敬意を対するべきだ。,Respect should be given to opinions from different perspectives.
大戦,たいせん,"great war, great battle",それは歴史上の大戦だった。,It was a great war in history.
態度,たいど,"attitude, manner",彼の態度が問題だ。,His attitude is a problem.
大統領,だいとうりょう,president,新しい大統領が選ばれました。,A new president has been elected.
大半,たいはん,"most of, majority, mostly",大半の人が賛成しました。,The majority of people agreed.
代表,だいひょう,"representative, delegation",チームの代表として彼が選ばれました。,He was chosen as the representative of the team.
大部分,だいぶぶん,"most part, majority",大部分の時間を勉強に費やした。,I spent most of the time studying.
タイプライター,タイプライター,typewriter,昔はタイプライターで文章を書いた。,I used to write using a typewriter in the past.
逮捕,たいほ,"arrest, apprehension, capture",彼は犯罪者を逮捕した。,He arrested the criminal.
題名,だいめい,title,この絵の題名は何ですか？,What is the title of this painting?
ダイヤ,ダイヤ,(railway) schedule; diamond,ダイヤの指輪を贈る。,Give a diamond ring as a gift.
太陽,たいよう,sun,太陽が輝いている。,The sun is shining.
